,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
20640,7203180070,20140919T000000,795000.0,4,3.25,3520,5250,2.0,0,0,3,9,3520,0,2012,0,98053,47.6869,-122.019,3220,5781
7271,8965520190,20141030T000000,1200000.0,3,2.5,3420,16622,1.0,0,4,3,10,2410,1010,1991,0,98006,47.5638,-122.105,3460,14566
13843,8122100355,20140924T000000,550000.0,1,1.0,2880,7560,1.0,0,0,3,7,1440,1440,1925,2014,98126,47.537,-122.375,1400,5040
20973,1239400650,20141107T000000,1242000.0,4,3.5,4700,10183,1.0,0,2,3,11,2660,2040,2002,0,98033,47.6728,-122.189,3770,9000
15748,3342103281,20141020T000000,500000.0,4,1.0,1160,20100,1.0,0,0,4,6,820,340,1913,0,98056,47.5175,-122.201,1670,10200
507,9238901420,20150202T000000,442000.0,3,1.0,1190,5100,1.0,0,0,4,7,1030,160,1941,0,98136,47.5346,-122.385,1690,5100
19724,9578090240,20140815T000000,780000.0,4,2.75,3430,6500,2.0,0,0,3,9,3050,380,2006,0,98052,47.7079,-122.106,3070,6802
13283,764000155,20141107T000000,415000.0,4,1.5,2700,14760,1.5,0,0,5,9,2700,0,1940,0,98022,47.1996,-122.003,1670,7200
7921,3904960910,20140917T000000,635000.0,4,2.5,3050,7238,2.0,0,0,3,8,3050,0,1989,0,98029,47.5772,-122.013,2580,7228
563,2725069050,20140613T000000,863000.0,4,2.5,4120,22370,2.0,0,0,3,10,4120,0,1997,0,98074,47.6239,-122.023,3180,7257
6947,2419600005,20140709T000000,420000.0,3,1.75,1510,6360,1.0,0,0,4,7,1510,0,1954,0,98133,47.7321,-122.353,1480,7260
21252,2309710130,20140715T000000,272000.0,4,2.0,1870,6551,1.0,0,3,3,7,1870,0,2009,0,98022,47.1934,-121.977,2280,5331
21063,5200087,20140709T000000,487000.0,4,2.5,2540,5001,2.0,0,0,3,9,2540,0,2005,0,98108,47.5423,-122.302,2360,6834
16179,4059400585,20140624T000000,218000.0,3,1.0,880,18205,1.0,0,0,4,6,880,0,1945,0,98178,47.5013,-122.244,1110,16115
15086,908000010,20141212T000000,360000.0,5,2.5,2880,6902,1.0,0,0,3,8,1680,1200,1976,2007,98058,47.4332,-122.144,2080,5586
13818,8021701115,20140826T000000,549000.0,3,2.0,1560,5130,1.0,0,0,5,7,1150,410,1915,0,98103,47.6913,-122.333,1560,4500
4049,8927600100,20140528T000000,925000.0,3,2.5,2690,7000,2.0,0,0,5,7,1840,850,1943,0,98115,47.6784,-122.277,1800,6435
7707,5522600205,20140917T000000,500000.0,3,1.5,2040,6750,1.0,0,0,3,7,1280,760,1950,0,98117,47.7013,-122.369,1970,6750
11158,3388000640,20150318T000000,220000.0,3,1.5,1280,7742,1.0,0,0,4,7,1280,0,1962,0,98031,47.3947,-122.197,1450,8316
18396,7334600730,20141211T000000,259000.0,4,1.75,1580,8856,2.0,0,0,3,7,1580,0,1979,0,98045,47.4694,-121.745,1390,9490
17535,5469502660,20140929T000000,439950.0,4,2.25,2460,14600,1.0,0,0,4,8,1720,740,1977,0,98042,47.3762,-122.16,2460,14600
19081,1825049013,20150213T000000,560000.0,4,2.0,1380,4048,1.5,0,0,4,7,1380,0,1906,0,98103,47.6583,-122.344,1440,3956
11579,7338000800,20141120T000000,185000.0,3,1.5,1280,4031,2.0,0,0,4,6,1280,0,1985,0,98002,47.3342,-122.215,1150,4500
9317,6415100410,20140609T000000,440000.0,3,1.75,2240,8153,1.0,0,0,3,7,1120,1120,1948,0,98125,47.7303,-122.329,1710,8100
13838,8732130730,20141120T000000,280000.0,3,1.75,1770,8240,1.0,0,0,4,7,1240,530,1978,0,98023,47.3066,-122.378,2060,8250
11757,9133600135,20150211T000000,160000.0,4,2.25,1800,14722,1.0,0,0,3,7,1440,360,1962,0,98055,47.4874,-122.223,2400,10000
5623,2491200675,20140912T000000,500000.0,3,2.0,1550,6394,1.5,0,0,5,8,1550,0,1918,0,98126,47.5222,-122.379,1440,6387
17132,4345300050,20140617T000000,294999.0,4,2.5,1660,9760,2.0,0,0,3,7,1660,0,1994,0,98030,47.3635,-122.188,1580,9614
7950,6300500477,20140826T000000,401500.0,3,2.5,1509,1114,3.0,0,0,3,8,1509,0,2014,0,98133,47.7048,-122.34,1509,2431
20535,1370800515,20141030T000000,2950000.0,4,4.25,4470,5884,2.0,0,1,3,11,3230,1240,2010,0,98199,47.6387,-122.405,2570,6000
14429,3579000410,20140905T000000,500000.0,3,2.25,2010,7447,2.0,0,0,3,8,2010,0,1985,0,98028,47.747,-122.248,2230,7846
5633,3424069145,20140925T000000,343000.0,3,1.0,1400,5662,1.5,0,0,5,5,1400,0,1920,0,98027,47.5271,-122.036,1250,14375
3874,1220000100,20150504T000000,215000.0,1,1.0,970,7639,1.0,0,0,4,5,570,400,1920,0,98166,47.4655,-122.346,1360,7380
8427,1782500065,20150428T000000,420000.0,4,1.75,1320,4978,1.0,0,0,4,7,940,380,1942,0,98126,47.5266,-122.379,1260,4693
4295,7781600025,20141023T000000,1155000.0,3,2.5,2490,24691,1.0,1,4,4,9,1580,910,1961,0,98146,47.488,-122.364,2800,24121
21043,9276200220,20140717T000000,375000.0,1,1.0,720,3166,1.0,0,0,3,6,720,0,1920,0,98116,47.5811,-122.389,1140,6250
14527,3888100133,20141014T000000,360000.0,3,1.0,1160,10988,1.0,0,0,3,7,1160,0,1965,0,98033,47.6818,-122.165,1670,51376
9669,6752601110,20140512T000000,357000.0,4,2.5,2380,7066,2.0,0,0,4,7,2380,0,1997,0,98031,47.3982,-122.172,2310,8127
15935,6055000010,20140725T000000,470000.0,3,3.5,3520,35512,2.0,0,2,3,8,2760,760,2005,0,98022,47.2416,-121.979,2860,39614
8629,2926049086,20141028T000000,575000.0,7,1.5,2670,11250,1.5,0,0,4,8,2320,350,1948,0,98133,47.7121,-122.332,2030,9000
11505,985001275,20140620T000000,250000.0,1,1.0,800,16306,1.0,0,0,2,6,680,120,1931,0,98168,47.4916,-122.308,1270,8666
21115,7853361310,20141215T000000,425000.0,4,2.5,1950,5000,2.0,0,0,3,8,1950,0,2012,0,98065,47.515,-121.872,2710,5000
3594,7857003465,20140605T000000,495000.0,5,3.0,2440,4750,1.0,0,0,3,9,1450,990,2006,0,98108,47.5485,-122.302,1420,5940
13615,2190600243,20141118T000000,210000.0,3,1.5,1400,9600,1.0,0,0,4,7,1400,0,1964,0,98003,47.2878,-122.297,2210,15000
7814,985001321,20141217T000000,291000.0,4,1.0,1590,24330,1.5,0,0,3,6,1140,450,1942,0,98168,47.4906,-122.309,1000,16228
19528,9165100375,20141118T000000,510000.0,5,2.0,2740,3838,1.0,0,0,4,7,1370,1370,1959,0,98117,47.6819,-122.393,1660,4040
13952,3751606606,20140717T000000,262500.0,3,1.75,2259,26831,1.5,0,3,5,7,1491,768,1908,0,98001,47.2741,-122.266,1980,15794
3237,2296500131,20141216T000000,739000.0,5,4.0,4660,9900,2.0,0,2,4,9,2600,2060,1979,0,98056,47.5135,-122.2,3380,9900
30,8562750320,20141110T000000,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
16649,1860600290,20140627T000000,1020000.0,3,2.25,1670,4800,1.5,0,3,3,8,1670,0,1903,0,98119,47.6356,-122.367,2300,4800
3329,7523700245,20141015T000000,240000.0,3,1.0,1350,7560,1.0,0,0,4,7,950,400,1959,0,98032,47.3784,-122.303,1470,7560
196,7549802535,20141111T000000,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480
1003,2826049282,20140614T000000,530000.0,3,2.5,1930,7214,2.0,0,0,3,8,1930,0,2005,0,98125,47.7191,-122.309,1930,7266
20396,1196003740,20140924T000000,734000.0,5,4.25,4110,42755,2.0,0,2,3,10,2970,1140,2000,0,98023,47.3375,-122.337,2730,12750
9614,3624039111,20150429T000000,215000.0,3,1.0,980,5600,1.0,0,0,2,6,980,0,1949,0,98106,47.5308,-122.361,1840,5302
2814,567000755,20141205T000000,450000.0,2,3.0,1790,1709,2.0,0,0,3,7,1400,390,2001,0,98144,47.5926,-122.296,1460,1462
2067,3066400140,20140620T000000,632500.0,4,2.5,2090,10306,2.0,0,0,3,10,2090,0,1986,0,98074,47.6304,-122.051,2660,11481
9263,1518000230,20141231T000000,315000.0,4,2.75,1580,3770,1.0,0,0,3,7,1080,500,2002,0,98019,47.7368,-121.968,1740,3800
9655,8035350090,20140616T000000,435000.0,3,2.5,2300,9521,2.0,0,0,3,8,2300,0,2003,0,98019,47.7447,-121.976,3020,10042
11255,1843200350,20140722T000000,150000.0,2,1.5,1360,1934,2.0,0,0,4,7,1360,0,1978,0,98092,47.2857,-122.189,1360,1898
11585,6134500070,20140709T000000,560000.0,3,2.5,1960,6058,2.0,0,0,3,8,1960,0,2002,0,98053,47.6319,-122.007,2480,6656
20723,8024200681,20140703T000000,425000.0,3,1.5,1400,1022,3.0,0,0,3,8,1400,0,2007,0,98115,47.6989,-122.317,1270,1205
3181,2329810590,20140806T000000,285000.0,3,2.5,1940,9874,2.0,0,0,3,7,1940,0,1990,0,98042,47.3794,-122.113,1860,8875
13705,1563103040,20141025T000000,490000.0,2,1.0,990,5000,1.0,0,0,3,7,990,0,1941,0,98116,47.5666,-122.403,2250,6032
707,4022907770,20141014T000000,550000.0,4,1.75,2480,14782,1.0,0,3,3,8,1460,1020,1958,0,98155,47.7646,-122.271,2910,10800
21517,7904700134,20140626T000000,390000.0,3,3.25,1370,913,2.0,0,0,3,8,1100,270,2006,0,98116,47.5636,-122.388,1370,915
21045,3744000040,20140722T000000,518380.0,4,2.5,2810,4500,2.0,0,0,3,9,2810,0,2014,0,98038,47.3552,-122.023,2980,5046
4436,1796100015,20150423T000000,675000.0,4,3.5,3090,100835,2.0,0,0,3,9,3090,0,1999,0,98092,47.3087,-122.088,2400,50543
3617,8965450110,20140912T000000,850000.0,3,2.5,3300,11570,2.0,0,0,3,9,3300,0,1994,0,98006,47.5599,-122.121,3280,11446
9089,1777600230,20140506T000000,610000.0,4,3.0,2450,10117,1.0,0,0,5,8,1580,870,1967,0,98006,47.5694,-122.132,2530,10125
21520,7237550100,20140825T000000,1408760.0,4,4.0,4920,50621,2.0,0,0,3,10,4280,640,2012,0,98053,47.6575,-122.006,4920,74052
14736,4032500035,20140913T000000,295000.0,2,1.75,1560,43748,2.0,0,0,3,8,1560,0,1967,2000,98065,47.5729,-121.676,1000,24602
8410,3625059140,20140507T000000,515000.0,3,1.75,1580,9147,1.0,0,1,4,7,1210,370,1967,0,98008,47.6069,-122.112,2600,23564
14054,8682260870,20140912T000000,344000.0,2,2.0,1300,4659,1.0,0,0,3,8,1300,0,2005,0,98053,47.7132,-122.033,1640,4780
7214,7139800020,20141016T000000,369000.0,3,1.5,2110,5195,1.0,0,0,3,7,1210,900,1959,0,98118,47.5283,-122.286,1950,5195
3406,2597531030,20140826T000000,756000.0,4,2.5,2730,10753,2.0,0,0,3,9,2730,0,1991,0,98006,47.5414,-122.133,3090,10740
5298,7523700305,20141012T000000,243400.0,4,1.5,1730,7464,2.0,0,0,4,7,1730,0,1959,0,98032,47.3782,-122.304,1370,7860
2477,1300301840,20150425T000000,1215000.0,4,2.25,2570,9600,2.5,0,0,4,9,2570,0,1962,0,98040,47.5791,-122.241,2570,13200
7066,1423400005,20140815T000000,249950.0,3,1.0,1370,11658,1.0,0,0,4,6,1370,0,1958,0,98058,47.4576,-122.182,1080,9198
11604,1795700030,20141201T000000,355000.0,3,2.5,1880,5290,1.0,0,0,3,8,1250,630,1974,0,98108,47.5401,-122.3,2030,5092
8840,123039570,20140708T000000,485000.0,4,2.25,1900,7200,1.0,0,0,3,8,1370,530,1977,0,98146,47.5033,-122.372,2030,8008
20809,2524059267,20140917T000000,799900.0,4,4.0,3650,18223,2.0,0,3,3,9,3330,320,2013,0,98006,47.5442,-122.116,3220,11022
20286,8091670190,20141104T000000,382495.0,3,2.5,1760,5390,1.0,0,0,3,8,1760,0,2014,0,98038,47.3482,-122.042,2310,5117
15122,9332800020,20140715T000000,745000.0,4,2.25,2290,10409,2.0,0,0,3,8,2290,0,1972,0,98005,47.6351,-122.168,2040,10409
370,6838700060,20141204T000000,280000.0,3,2.25,1430,7222,2.0,0,0,3,7,1430,0,1993,0,98056,47.5112,-122.19,1430,7220
10096,109200140,20150506T000000,299000.0,4,2.5,2300,8100,1.0,0,0,4,8,1360,940,1979,0,98023,47.2979,-122.371,1910,7630
18219,8732800100,20140916T000000,312000.0,4,2.0,1890,8362,1.0,0,0,3,7,1890,0,1966,0,98188,47.4377,-122.279,1600,9257
19839,7787920160,20150427T000000,472000.0,5,2.5,2570,7412,2.0,0,0,3,8,2570,0,2006,0,98019,47.7265,-121.957,2890,8056
4727,6646200090,20140819T000000,650000.0,4,3.5,3270,15704,2.0,0,0,3,9,2110,1160,1990,0,98074,47.6256,-122.042,3020,8582
7254,5015001045,20140826T000000,1045000.0,4,3.0,3560,4000,3.0,0,2,3,9,2970,590,1996,0,98112,47.6265,-122.3,1190,4000
12079,2115720070,20141125T000000,216300.0,3,2.5,1650,5000,2.0,0,0,3,8,1650,0,1985,0,98023,47.3206,-122.394,1720,5000
12584,6072100790,20150408T000000,648000.0,5,2.25,2410,12000,2.0,0,0,4,8,2410,0,1973,0,98006,47.5434,-122.175,2080,12000
678,3013300288,20140930T000000,478500.0,3,1.0,2090,4755,1.0,0,2,3,8,1200,890,1969,0,98136,47.5304,-122.387,1850,5300
7973,3122069029,20140619T000000,120000.0,2,1.0,990,39964,1.0,0,0,2,4,990,0,1945,0,98042,47.3577,-122.085,1560,8990
1141,3320000810,20150224T000000,380000.0,5,2.0,1680,3240,1.0,0,0,3,5,840,840,1906,0,98144,47.5965,-122.311,1380,1260
217,1909600046,20140703T000000,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.379,1320,5390
3524,1322059002,20150319T000000,350000.0,3,1.75,1980,273556,1.0,0,0,3,6,1040,940,1956,1999,98042,47.4012,-122.11,2180,217799
21065,1498301048,20140508T000000,321950.0,2,1.25,860,1277,2.0,0,0,3,7,860,0,2007,0,98144,47.5842,-122.314,1280,1265
3743,2473372250,20150121T000000,312500.0,3,1.75,1490,9493,1.0,0,0,4,8,1490,0,1976,0,98058,47.4514,-122.134,2440,9600
11835,5499200060,20150403T000000,635000.0,4,3.0,2100,3800,2.0,0,0,3,8,2100,0,1972,0,98115,47.6807,-122.291,1320,3800
2850,1773101335,20141103T000000,399950.0,3,2.5,1400,4400,1.0,0,0,3,7,1400,0,1930,2014,98106,47.553,-122.365,1060,4400
18024,1939130120,20140718T000000,735000.0,4,2.5,3100,8529,2.0,0,0,3,9,3100,0,1990,0,98074,47.6252,-122.029,2710,8344
13859,2589300065,20140916T000000,329900.0,3,1.75,1670,5209,1.5,0,0,5,7,1670,0,1908,0,98118,47.5362,-122.271,1990,4960
18417,1423900220,20140709T000000,252000.0,4,1.75,1120,8250,1.0,0,0,4,7,1120,0,1966,0,98058,47.4555,-122.177,1330,7975
3685,3861400061,20150213T000000,641000.0,3,1.75,1480,9603,1.0,0,0,3,7,1480,0,1952,0,98004,47.5915,-122.202,2660,10766
20390,9542840450,20140811T000000,274000.0,3,1.5,1450,4694,2.0,0,0,3,7,1450,0,2011,0,98038,47.3654,-122.021,1870,4198
7615,1773100123,20141002T000000,285000.0,3,1.75,1100,1307,2.0,0,0,3,7,780,320,2008,0,98106,47.5601,-122.363,1170,4800
7316,3764800250,20150105T000000,330000.0,4,2.0,1180,7275,1.0,0,0,3,7,1180,0,1965,0,98034,47.7301,-122.2,1210,7275
20312,7515000143,20140805T000000,399950.0,3,2.25,1360,1041,2.0,0,0,3,8,1094,266,2006,0,98117,47.6925,-122.375,1522,1382
3348,5437400100,20150331T000000,675000.0,4,2.5,2370,9679,2.0,0,0,3,8,2370,0,1984,0,98027,47.5631,-122.085,2290,7944
17931,2979800750,20140911T000000,552000.0,2,1.0,1150,5000,1.0,0,0,4,7,1050,100,1924,0,98115,47.6846,-122.317,1463,4320
15141,2473372040,20150102T000000,345000.0,4,2.25,2320,7350,2.0,0,0,3,8,2320,0,1973,0,98058,47.4512,-122.131,2170,7350
3704,3992700265,20140804T000000,385100.0,3,1.0,1060,8040,1.0,0,0,4,6,1060,0,1949,0,98125,47.7121,-122.287,1300,7620
19849,7708210070,20140617T000000,535000.0,4,2.75,3070,7201,2.0,0,0,3,9,3070,0,2006,0,98059,47.4897,-122.147,2880,8364
8934,106000044,20140826T000000,399950.0,3,1.0,1470,7930,1.0,0,0,3,7,1070,400,1950,0,98177,47.7013,-122.368,1440,8100
5175,2473101190,20150427T000000,279950.0,3,1.75,1530,8800,1.0,0,0,4,7,1040,490,1967,0,98058,47.4483,-122.158,1530,8690
19023,2260000210,20150209T000000,565000.0,3,1.75,2380,10450,1.0,0,0,3,8,1400,980,1977,0,98052,47.6409,-122.111,2150,9600
20734,255550070,20140626T000000,330675.0,4,3.0,1930,3031,1.0,0,0,3,7,1200,730,2006,0,98019,47.7457,-121.985,1930,2611
10172,7312400030,20150130T000000,442000.0,2,1.0,1410,5000,1.0,0,2,4,7,940,470,1918,0,98126,47.5531,-122.379,1450,5000
1611,9407101840,20140620T000000,378000.0,4,2.5,1890,12236,1.0,0,0,3,7,1230,660,1978,0,98045,47.4491,-121.78,1390,11360
3936,7227800110,20150409T000000,315000.0,6,2.0,1750,17685,1.0,0,0,4,5,1750,0,1943,0,98056,47.5096,-122.178,1750,9209
6049,3276930380,20140523T000000,675000.0,4,2.5,2560,36601,2.0,0,0,4,9,2560,0,1987,0,98075,47.5851,-121.992,2790,36601
21381,9521100301,20140507T000000,339950.0,2,1.0,820,681,3.0,0,0,3,8,820,0,2006,0,98103,47.6619,-122.352,820,1156
14948,9557300190,20140711T000000,440000.0,3,2.25,1900,7225,1.0,0,0,3,8,1220,680,1970,0,98008,47.6394,-122.113,1900,7399
17406,9269260420,20141110T000000,436000.0,4,2.5,2640,3899,2.0,0,0,3,7,2640,0,2000,0,98011,47.754,-122.217,2460,4057
18245,7202290180,20150102T000000,476000.0,3,2.5,1440,3840,2.0,0,0,3,7,1440,0,2001,0,98053,47.6873,-122.043,1600,3131
4778,8718500275,20140715T000000,390000.0,3,2.75,1950,12240,1.0,0,0,3,7,1250,700,1956,0,98028,47.7401,-122.258,1880,12000
7763,2925059294,20150327T000000,860000.0,3,2.0,1880,8494,1.0,0,0,4,7,1200,680,1968,0,98004,47.6217,-122.192,1290,9128
18399,2916200054,20150413T000000,392500.0,3,1.0,1100,7650,1.0,0,0,3,7,1100,0,1952,0,98133,47.7219,-122.354,1430,7650
15052,1565930130,20141104T000000,429900.0,4,3.25,3760,4675,2.0,0,0,3,8,2740,1020,2007,0,98038,47.3862,-122.048,3280,4033
17505,2600130190,20141107T000000,982000.0,4,2.5,2790,10289,2.0,0,0,3,9,2790,0,1987,0,98006,47.5483,-122.158,2650,10126
17905,5100402310,20141212T000000,425000.0,2,1.0,1280,5026,1.0,0,2,4,8,1020,260,1951,0,98115,47.6938,-122.312,1540,6380
18717,6018500015,20140711T000000,199990.0,2,1.0,890,6430,1.0,0,0,3,6,890,0,1935,1997,98022,47.2003,-121.996,1460,6430
6959,723000114,20140505T000000,1395000.0,5,3.5,4010,8510,2.0,0,1,5,9,2850,1160,1971,0,98105,47.6578,-122.286,2610,6128
8543,259800410,20141106T000000,445000.0,3,1.75,1750,7200,1.0,0,0,3,7,1750,0,1966,0,98008,47.6289,-122.119,1810,7590
1935,6738700320,20150414T000000,1249000.0,4,3.5,3190,6000,1.5,0,3,4,9,2410,780,1912,0,98144,47.5846,-122.29,2840,4000
7803,7454000315,20150424T000000,299500.0,2,1.0,740,6300,1.0,0,0,3,6,740,0,1942,0,98126,47.5158,-122.376,740,6300
7157,2754700170,20140804T000000,443500.0,2,1.0,1330,4140,1.0,0,0,4,7,930,400,1919,1940,98115,47.6802,-122.306,1410,5100
411,2422029094,20140716T000000,517534.0,2,1.0,833,143947,1.0,0,0,3,5,833,0,2006,0,98070,47.3889,-122.482,1380,143947
19194,1337800220,20140908T000000,1003000.0,4,2.5,2230,3600,2.0,0,0,5,8,1630,600,1906,0,98112,47.6304,-122.309,2410,4800
19218,8562750300,20140731T000000,589000.0,3,2.5,2320,5663,2.0,0,0,3,8,2320,0,2003,0,98027,47.539,-122.07,2500,4500
608,1796380960,20141126T000000,223000.0,3,2.0,1670,6824,1.0,0,0,3,7,1300,370,1990,0,98042,47.3666,-122.084,1660,7586
11176,6608500260,20140716T000000,357500.0,3,1.0,1070,10125,1.0,0,0,3,7,1070,0,1961,0,98033,47.7012,-122.167,1540,10200
2788,3416600111,20150323T000000,545000.0,2,1.5,1620,3760,2.0,0,0,5,7,1170,450,1924,0,98144,47.6012,-122.291,2130,4000
16597,3342102385,20141029T000000,376000.0,4,2.25,2200,6750,1.0,0,0,5,8,1480,720,1959,0,98056,47.5215,-122.202,2710,6750
12749,5566100205,20141223T000000,515000.0,3,1.75,1490,12000,1.0,0,0,4,7,1490,0,1956,0,98006,47.569,-122.175,1630,12000
15483,1727500280,20140820T000000,480000.0,4,2.25,1770,7000,1.0,0,0,5,7,1770,0,1972,0,98034,47.7193,-122.218,1780,6500
19350,3832300090,20140709T000000,215000.0,3,1.0,1200,7280,1.0,0,0,4,7,1200,0,1967,0,98032,47.3724,-122.277,1200,8400
3481,6625910100,20150203T000000,415000.0,3,2.25,2180,11100,1.0,0,0,5,8,1700,480,1979,0,98056,47.5162,-122.176,2350,11397
6299,7849201061,20150408T000000,319950.0,4,2.5,2020,7200,1.5,0,0,4,6,2020,0,1954,0,98065,47.5223,-121.818,1440,7200
19644,1442880260,20140909T000000,456000.0,3,2.5,2130,5205,2.0,0,0,3,8,2130,0,2013,0,98045,47.4832,-121.774,2250,5462
7493,2655500235,20150410T000000,1605000.0,4,3.5,3920,19088,1.0,0,1,3,10,2240,1680,2005,0,98040,47.576,-122.214,3800,13749
4888,7140200380,20141030T000000,275000.0,3,2.0,1910,8050,1.0,0,0,4,7,1000,910,1980,0,98030,47.37,-122.17,1780,7344
20117,9578500820,20141125T000000,424950.0,4,3.25,3266,5398,2.0,0,0,3,8,3266,0,2014,0,98023,47.2975,-122.35,3087,5152
12330,5126900200,20150429T000000,162248.0,2,1.0,800,8960,1.0,0,0,4,6,800,0,1944,0,98058,47.4756,-122.174,850,8082
19949,7548301044,20140710T000000,342500.0,2,1.5,1320,826,2.0,0,0,3,8,1100,220,2008,0,98144,47.5879,-122.304,1340,1213
18854,9414500230,20141022T000000,440000.0,3,2.25,1760,10835,1.0,0,0,4,8,1290,470,1976,0,98027,47.522,-122.048,2050,10488
9081,6445800120,20150404T000000,679000.0,4,1.75,2260,41236,1.0,0,0,4,8,1690,570,1962,0,98029,47.5528,-122.034,3080,30240
11286,8598200070,20141208T000000,278000.0,2,2.5,1420,2229,2.0,0,0,3,7,1420,0,2004,0,98059,47.4871,-122.165,1500,2230
18641,2473370750,20150224T000000,430000.0,3,1.75,3440,10428,1.5,0,0,5,8,3440,0,1974,0,98058,47.449,-122.128,2160,8400
